logger_ID,date,logger_serial_number,temperature
19,2021-09-07T08:00:00Z,A541E8,5.55966
19,2021-09-07T09:00:00Z,A541E8,6.38459
19,2021-09-07T10:00:00Z,A541E8,7.5749
19,2021-09-07T11:00:00Z,A541E8,8.93746
19,2021-09-07T12:00:00Z,A541E8,10.4184
19,2021-09-07T13:00:00Z,A541E8,11.9293
19,2021-09-07T14:00:00Z,A541E8,13.0779
19,2021-09-07T15:00:00Z,A541E8,13.4098
19,2021-09-07T16:00:00Z,A541E8,13.1636
19,2021-09-07T17:00:00Z,A541E8,12.6377
19,2021-09-07T18:00:00Z,A541E8,11.9507
19,2021-09-07T19:00:00Z,A541E8,11.198
19,2021-09-07T20:00:00Z,A541E8,10.5013
19,2021-09-07T21:00:00Z,A541E8,9.90029
19,2021-09-07T22:00:00Z,A541E8,9.38876
19,2021-09-07T23:00:00Z,A541E8,8.90984
19,2021-09-08T00:00:00Z,A541E8,8.4479
19,2021-09-08T01:00:00Z,A541E8,8.02959
19,2021-09-08T02:00:00Z,A541E8,7.61327
19,2021-09-08T03:00:00Z,A541E8,7.23349
19,2021-09-08T04:00:00Z,A541E8,6.86507
19,2021-09-08T05:00:00Z,A541E8,6.52524
19,2021-09-08T06:00:00Z,A541E8,6.20476
19,2021-09-08T07:00:00Z,A541E8,5.97105
19,2021-09-08T08:00:00Z,A541E8,6.16437
19,2021-09-08T09:00:00Z,A541E8,7.18895
19,2021-09-08T10:00:00Z,A541E8,8.65813
19,2021-09-08T11:00:00Z,A541E8,10.345
19,2021-09-08T12:00:00Z,A541E8,11.7885
19,2021-09-08T13:00:00Z,A541E8,12.1645
19,2021-09-08T14:00:00Z,A541E8,13.0645
19,2021-09-08T15:00:00Z,A541E8,13.8306
19,2021-09-08T16:00:00Z,A541E8,13.9035
19,2021-09-08T17:00:00Z,A541E8,13.2931
19,2021-09-08T18:00:00Z,A541E8,12.5027
19,2021-09-08T19:00:00Z,A541E8,11.7074
19,2021-09-08T20:00:00Z,A541E8,10.9524
19,2021-09-08T21:00:00Z,A541E8,10.2881
19,2021-09-08T22:00:00Z,A541E8,9.68756
19,2021-09-08T23:00:00Z,A541E8,9.13477
19,2021-09-09T00:00:00Z,A541E8,8.64632
19,2021-09-09T01:00:00Z,A541E8,8.2053
19,2021-09-09T02:00:00Z,A541E8,7.81628
19,2021-09-09T03:00:00Z,A541E8,7.44289
19,2021-09-09T04:00:00Z,A541E8,7.11042
19,2021-09-09T05:00:00Z,A541E8,6.83677
19,2021-09-09T06:00:00Z,A541E8,6.61101
19,2021-09-09T07:00:00Z,A541E8,6.43829
19,2021-09-09T08:00:00Z,A541E8,6.56039
19,2021-09-09T09:00:00Z,A541E8,6.93128
19,2021-09-09T10:00:00Z,A541E8,8.08139
19,2021-09-09T11:00:00Z,A541E8,9.4974
19,2021-09-09T12:00:00Z,A541E8,10.6834
19,2021-09-09T13:00:00Z,A541E8,12.1057
19,2021-09-09T14:00:00Z,A541E8,13.3306
19,2021-09-09T15:00:00Z,A541E8,14.2025
19,2021-09-09T16:00:00Z,A541E8,13.9621
19,2021-09-09T17:00:00Z,A541E8,13.3056
19,2021-09-09T18:00:00Z,A541E8,12.552
19,2021-09-09T19:00:00Z,A541E8,11.7796
19,2021-09-09T20:00:00Z,A541E8,11.0218
19,2021-09-09T21:00:00Z,A541E8,10.3608
19,2021-09-09T22:00:00Z,A541E8,9.77791
19,2021-09-09T23:00:00Z,A541E8,9.2252
19,2021-09-10T00:00:00Z,A541E8,8.73666
19,2021-09-10T01:00:00Z,A541E8,8.2937
19,2021-09-10T02:00:00Z,A541E8,7.8823
19,2021-09-10T03:00:00Z,A541E8,7.48424
19,2021-09-10T04:00:00Z,A541E8,7.11082
19,2021-09-10T05:00:00Z,A541E8,6.7642
19,2021-09-10T06:00:00Z,A541E8,6.43637
19,2021-09-10T07:00:00Z,A541E8,6.17436
19,2021-09-10T08:00:00Z,A541E8,6.34144
19,2021-09-10T09:00:00Z,A541E8,7.33279
19,2021-09-10T10:00:00Z,A541E8,8.80285
19,2021-09-10T11:00:00Z,A541E8,10.4138
19,2021-09-10T12:00:00Z,A541E8,11.9664
19,2021-09-10T13:00:00Z,A541E8,13.3493
19,2021-09-10T14:00:00Z,A541E8,14.4812
19,2021-09-10T15:00:00Z,A541E8,14.9423
19,2021-09-10T16:00:00Z,A541E8,14.3923
19,2021-09-10T17:00:00Z,A541E8,13.5712
19,2021-09-10T18:00:00Z,A541E8,12.7525
19,2021-09-10T19:00:00Z,A541E8,11.9714
19,2021-09-10T20:00:00Z,A541E8,11.2709
19,2021-09-10T21:00:00Z,A541E8,10.7162
19,2021-09-10T22:00:00Z,A541E8,10.2451
19,2021-09-10T23:00:00Z,A541E8,9.81758
19,2021-09-11T00:00:00Z,A541E8,9.44001
19,2021-09-11T01:00:00Z,A541E8,9.16598
19,2021-09-11T02:00:00Z,A541E8,8.90874
19,2021-09-11T03:00:00Z,A541E8,8.66743
19,2021-09-11T04:00:00Z,A541E8,8.44159
19,2021-09-11T05:00:00Z,A541E8,8.24563
